"hashtags/0","hashtags/1","isCommentsDisabled","isSponsored","alt","commentsCount","likesCount","caption","displayUrl","id","locationName","ownerFullName","ownerId","ownerUsername","shortCode","timestamp","type","videoDuration","videoPlayCount","videoViewCount","productType","videoUrl","url","inputUrl"
,,"false","false","Photo shared by SPORF on February 23, 2025 tagging @brasileirao.","26","37290","Happy Birthday, Casemiro! 🥳

The Brazilian midfielder turns 33 today! ⚽️","https://scontent-mia3-3.cdninstagram.com/v/t51.2885-15/481005684_18543913765012301_5607242709691894051_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QG-ziIoVsBN3n3smXEazF9oqsqibdqU-7xVAc3jJZUbfDM9y_Ey2wV06LQdx5q6ya4&_nc_ohc=WqfihxebplEQ7kNvwHmVgRL&_nc_gid=R8_JSli_sUZ2Apphm7mH4A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfaRj7fkSzOtjIXtGCDXVQL2kAl5KWkFc6bGQjXs7Ubvqw&oe=68C7509A&_nc_sid=10d13b","3574317284435095662",,"SPORF","689484300","sporf","DGahqH1SvBu","2025-02-23T11:57:25.000Z","Sidecar",,,,,,"https://www.instagram.com/p/DGahqH1SvBu/","https://www.instagram.com/sporf/"
,,"false","false","Photo shared by SPORF on February 22, 2025 tagging @bivol_d, and @arturbeterbiev.","4","3265","Dmitry Bivol will face off against Artur Beterbiev in a highly anticipated rematch for the undisputed light heavyweight title in Riyadh tonight! 🥊🇸🇦","https://instagram.fslc3-2.fna.fbcdn.net/v/t51.29350-15/481239298_1744745382769184_3607438569668125331_n.heic?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=instagram.fslc3-2.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QHJ8PAd-9LFSZQ3wSgkzHiskm9ea-pja2oIeA5CUxj8yR2y3PW35qNtl_aY6xkyCLM&_nc_ohc=CcqNGsqYvt4Q7kNvwHxva57&_nc_gid=vJVTMI3p_VOXwKvmh8WTCw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfaCjkKeXNwvzwgchzYDoR9jYfU4rCArhzCBMgyW3CRDVQ&oe=68C75636&_nc_sid=10d13b","3573699679353440246",,"SPORF","689484300","sporf","DGYVOyRygf2","2025-02-22T16:15:11.000Z","Image",,,,,,"https://www.instagram.com/p/DGYVOyRygf2/","https://www.instagram.com/sporf/"
,,"false","false","Photo shared by SPORF on February 21, 2025 tagging @europaleague.","24","4852","The Europa League battle lines have been drawn! ⚽️⚔️

Who is going to win the Europa League?","https://scontent-ord5-3.cdninstagram.com/v/t51.29350-15/480890359_23901936952729514_6342786295960682899_n.heic?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QEQz9a6sV-WEhivFu0heszvHQ5lzbWMralw6-JqTvLOEXArz2XJSAsI6wTWFWOUXvY&_nc_ohc=Lk_9eYaOFyEQ7kNvwGQnrnn&_nc_gid=wqF-8vhlPHTUU9UbjGppdA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afb7D5ZJQqlFrM8NG6M_gzhlqkBkbHX00Eil13I-3Ih2JA&oe=68C74AD6&_nc_sid=10d13b","3572955647958461471",,"SPORF","689484300","sporf","DGVsDtCyiwf","2025-02-21T14:52:06.000Z","Image",,,,,,"https://www.instagram.com/p/DGVsDtCyiwf/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on March 10, 2025.","29","7452","How the standings look across Europe’s top 5 leagues! 📊⚽","https://scontent-lga3-3.cdninstagram.com/v/t51.29350-15/483439658_912453107752268_1578396546814437564_n.heic?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QF66kNs9eT0XI_GDKweX2fqYHxrcQ-ULboE49S50EFI3POywA8EiKmX98h1DFI8ABY&_nc_ohc=NPkiRF2sVGsQ7kNvwGkUEUO&_nc_gid=yQpUCqzmQEXCcIYCKiPbDQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfYEOtvBdudlfBchz76_A32aOKueXUEXHyy_l6gy5bUQMw&oe=68C750EE&_nc_sid=10d13b","3585190343521998206",,"SPORF","689484300","sporf","DHBJ59NyhV-","2025-03-10T12:00:08.000Z","Sidecar",,,,,,"https://www.instagram.com/p/DHBJ59NyhV-/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on February 24, 2025.","5","15938","A true mastermind of the game! ⚽🧠

Happy Birthday, Hansi Flick! 🍰🥳","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/481479556_18544120183012301_8256816835126565533_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFPACemapJLafjREyJCX5gEPVh6vVEGFbvpQorJAlJ2xIRaUK78GhZTK7WeG6CzHyo&_nc_ohc=FoFrMJAaqGQQ7kNvwFADJnB&_nc_gid=2dG_VZ7CM9kziRo0tCfZVg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afa0Qm7y_2pRSLTCDkkZTxlLzt0V5jhhOHUuVfyyXxq3Ng&oe=68C7519D&_nc_sid=10d13b","3575097597583117786",,"SPORF","689484300","sporf","DGdTFLFS03a","2025-02-24T13:47:46.000Z","Sidecar",,,,,,"https://www.instagram.com/p/DGdTFLFS03a/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on February 22, 2025.","2","2938","What is The Rock cooking now? 👀👨‍🍳","https://scontent-sea5-1.cdninstagram.com/v/t51.2885-15/481470982_18543703537012301_1343058849650747510_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sea5-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QGBNDu6GFbuimyBfVerVxxJzpW5r4voTQLKTp8S-u_bDBRlwXkyVjPggNSrWRvVMc0&_nc_ohc=5lbXvYtGrwwQ7kNvwHtji4Q&_nc_gid=LRJxm0ppb2R17QYo1JcxBw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfZh4NkRpSw9314z9nL6lslZTGvNR6f-lWv-bILntcWPXw&oe=68C7794A&_nc_sid=10d13b","3573488109063066366",,"SPORF","689484300","sporf","DGXlICFyVL-","2025-02-22T08:30:00.000Z","Image",,,,,,"https://www.instagram.com/p/DGXlICFyVL-/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on February 23, 2025.","0","2694","Newcastle United get the better of Nottingham Forest in an enthralling encounter! ⚽️⚫️⚪️","https://scontent-ord5-1.cdninstagram.com/v/t51.29350-15/481690750_477886708725443_2961665888450676067_n.heic?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEKmcXfcbWuvqSecr3B-hSwrwHncSu9zDF3f6Vm-eMxeDw3XL8feSxlDVYnet2FULo&_nc_ohc=Dnz54B2zYmQQ7kNvwFl5aYN&_nc_gid=DuOtIjSiEwCic-GWEWXk1Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfYLudEolGCN1PYyp95F_s2_NN0JNPPt-lkOGhGP8exxqA&oe=68C7792D&_nc_sid=10d13b","3574450624496547894",,"SPORF","689484300","sporf","DGa_-ecSjg2","2025-02-23T16:22:21.000Z","Image",,,,,,"https://www.instagram.com/p/DGa_-ecSjg2/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on February 20, 2025.","36","14617","Must be a 𝑴𝑨𝑫𝑹𝑰𝑫 thing! 😮‍💨","https://scontent-iad3-2.cdninstagram.com/v/t39.30808-6/486050753_1201713891616602_8378984619787405758_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QF7lV0wWhon2ftAeDddO8RygnC7VD4iMnmH2cZXcTrcHkeIXCIIJigaqgYlXmcg_Hk&_nc_ohc=TwYn-hUnQG0Q7kNvwG_SILe&_nc_gid=mGmVZd64XJwsOkM-CQvuug&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfbF-dtWZ7261wQ7i2M_uPi-k1qdqgg7BvQwiVoJBx35-w&oe=68C75F8B&_nc_sid=10d13b","3572092172506497721",,"SPORF","689484300","sporf","DGSnue3NAK5","2025-02-20T10:16:32.000Z","Image",,,,,,"https://www.instagram.com/p/DGSnue3NAK5/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on February 24, 2025.","13","9904","Class is permanent! ☄️🎯 

🎥: @oficialrc3","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/475338014_18544093402012301_1995020025482469769_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEEH8gz6gukAMD6WEX5tVXIImQCEeMY2qC-4MtoIPSrrB5BrFGFfnMazCRR3DF8f3M&_nc_ohc=wdJcvHPz-XoQ7kNvwHOGalY&_nc_gid=-psJVPsn_z9_U58GuON6OA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfY7v23SI2HGojRIP8b9j6_-anWy0A7W31D2Tji2zHkWnA&oe=68C763A4&_nc_sid=10d13b","3574998885500839295",,"SPORF","689484300","sporf","DGc8ouSseV_","2025-02-24T10:31:39.000Z","Sidecar",,,,,,"https://www.instagram.com/p/DGc8ouSseV_/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on February 20, 2025.","52","46444","Braving the elements! ❄️

Olivier Giroud’s beard froze during last night’s match against Colorado Rapids as temperatures plummeted to -15°C. 🥶","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/480994818_18543331261012301_7431104786161805319_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHcXzLGjHRPTVx79JtdvgxX8j9zdE4xyu0ZEtTzgm-ZGAQmllR_oHO-GJzictkVFSE&_nc_ohc=Q72AAJk7MKMQ7kNvwHEmQU8&_nc_gid=va8NNGuh_kDeNmQ5M7Cu9A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfYxxxWbrC1upbRImDX2mDMIoAmZpmkbuvTdDS7fipAobQ&oe=68C74E81&_nc_sid=10d13b","3572129371739033520",,"SPORF","689484300","sporf","DGSwLzWPo-w","2025-02-20T11:30:00.000Z","Image",,,,,,"https://www.instagram.com/p/DGSwLzWPo-w/","https://www.instagram.com/sporf/"
